,0
761,525.0
762,534.9
763,559.5
764,552.94
765,554.04
766,555.15
767,555.23
768,552.52
769,579.04
770,580.21
771,577.49
772,575.14
773,562.8
774,560.26
775,559.47
776,558.93
777,569.61
778,573.37
779,577.02
780,574.27
781,559.44
782,552.08
783,553.98
784,560.48
785,569.63
786,582.95
787,579.87
788,593.86
789,598.69
790,593.64
791,598.5
792,593.19
793,586.14
794,602.08
795,591.43
796,594.6
797,595.93
798,603.17
799,614.82
800,620.75
801,625.89
802,635.35
803,627.9
804,632.99
805,631.0
806,620.5
807,626.2
808,616.88
809,606.57
810,602.0
811,659.59
812,683.85
813,671.32
814,670.9
815,659.09
816,673.95
817,679.75
818,703.07
819,713.23
820,717.93
821,709.92
822,710.66
823,695.27
824,697.45
825,698.52
826,702.8
827,696.75
828,704.2
829,708.35
830,714.91
831,712.24
832,722.79
833,719.44
834,728.24
835,725.54
836,726.73
837,723.74
838,726.64
839,727.65
840,717.91
841,715.24
842,719.3
843,714.26
844,717.51
845,706.39
846,714.01
847,715.82
848,710.6
849,722.08
850,698.96
851,691.36
852,707.95
853,715.6
854,715.62
855,725.68
856,728.1
857,737.61
858,736.57
859,745.81
860,753.78
861,748.21
862,742.63
863,741.2
864,735.44
865,736.07
866,739.95
867,745.72
868,744.43
869,744.86
870,739.61
871,735.59
872,736.67
873,752.61
874,758.81
875,767.74
876,760.58
877,754.64
878,760.77
879,765.98
880,766.56
881,768.31
882,768.56
883,771.24
884,772.56
885,768.49
886,764.04
887,764.63
888,764.46
889,757.31
890,759.48
891,762.45
892,757.25
893,759.22
894,769.0
895,771.29
896,767.58
897,769.16
898,770.62
899,772.44
900,788.87
901,784.48
902,784.06
903,760.14
904,771.49
905,761.01
906,761.09
907,769.69
908,778.52
909,775.1
910,780.22
911,789.74
912,804.7
913,805.75
914,799.16
915,816.11
916,828.72
917,829.05
918,837.31
919,836.74
920,834.03
921,844.36
922,841.66
923,839.43
924,841.71
925,831.0
926,834.09
927,829.28
928,822.96
929,812.95
930,817.65
931,817.69
932,810.32
933,818.99
934,838.09
935,835.18
936,822.59
937,818.36
938,776.32
939,789.82
940,785.41
941,765.56
942,767.03
943,755.05
944,784.93
945,787.75
946,771.88
947,742.38
948,739.01
949,719.07
950,743.24
951,746.49
952,756.4
953,760.16
954,780.0
955,785.33
956,780.12
957,780.37
958,766.77
959,762.52
960,750.57
961,743.65
962,740.34
963,759.36
964,764.72
965,770.42
966,767.33
967,768.66
968,760.12
969,774.34
970,768.82
971,761.0
972,757.77
973,766.0
974,771.22
975,770.6
976,766.34
977,760.59
978,771.4
979,772.13
980,765.15
981,749.87
982,753.67
983,757.18
984,780.45
985,795.99
986,796.92
987,795.9
988,799.02
989,813.64
990,817.14
991,809.72
992,807.48
993,809.04
994,808.33
995,817.88
996,822.44
997,836.52
998,839.15
999,835.77
1000,830.38
1001,823.48
1002,832.35
1003,839.95
1004,810.2
1005,807.64
1006,812.5
1007,819.71
1008,821.36
1009,827.46
1010,836.53
1011,836.39
1012,842.7
1013,844.14
1014,845.07
1015,856.44
1016,855.61
1017,852.19
1018,845.24
1019,848.64
1020,845.04
1021,853.08
1022,848.91
1023,849.88
1024,846.61
1025,846.02
1026,850.5
1027,853.0
1028,852.46
1029,854.59
1030,852.53
1031,852.97
1032,853.42
1033,852.31
1034,856.97
1035,843.2
1036,848.06
1037,847.38
1038,845.61
1039,846.82
1040,856.0
1041,874.32
1042,876.34
1043,886.54
1044,891.51
1045,906.83
1046,909.28
1047,898.28
1048,894.88
1049,907.04
1050,902.36
1051,896.23
1052,884.67
1053,901.99
1054,903.78
1055,899.2
1056,902.06
1057,898.53
1058,907.41
1059,907.62
1060,909.29
1061,918.38
1062,924.99
1063,948.23
1064,946.94
1065,941.03
1066,937.53
1067,934.15
1068,949.04
1069,952.82
1070,948.95
1071,947.62
1072,961.35
1073,957.97
1074,966.07
1075,944.76
1076,958.49
1077,959.84
1078,970.67
1079,971.54
1080,980.35
1081,993.38
1082,995.78
1083,996.7
1084,994.62
1085,995.95
1086,1006.73
1087,1011.34
1088,1003.0
1089,1010.07
1090,1010.27
1091,978.31
1092,964.91
1093,980.79
1094,976.47
1095,964.17
1096,987.71
1097,995.17
1098,992.59
1099,1002.23
1100,1001.3
1101,1003.74
1102,993.98
1103,976.78
1104,990.33
1105,975.93
1106,968.0
1107,953.66
1108,971.4
1109,965.14
1110,978.76
1111,996.47
1112,994.13
1113,1006.51
1114,1000.63
1115,1001.81
1116,1010.04
1117,1024.45
1118,1026.87
1119,1028.7
1120,1025.67
1121,1038.95
1122,1039.87
1123,1052.8
1124,1046.0
1125,1020.04
1126,987.78
1127,992.27
1128,995.89
1129,986.92
1130,987.58
1131,992.27
1132,989.84
1133,982.01
1134,956.92
1135,967.99
1136,983.3
1137,982.74
1138,978.18
1139,960.57
1140,958.47
1141,953.29
1142,966.9
1143,958.0
1144,952.45
1145,945.26
1146,946.02
1147,954.06
1148,967.59
1149,980.6
1150,978.25
1151,965.27
1152,967.8
1153,979.47
1154,965.9
1155,977.96
1156,982.58
1157,999.6
1158,992.21
1159,986.79
1160,974.19
1161,969.86
1162,973.21
1163,964.65
